sno	Collected_Protein_name	Uniprot_Name	Uniprot_ID	Approved_Symbol	Gene_Identifier	Approved_Protein_Name	Organism_Mapped	Biomarker_Type	PMID	Organism_Tested	Organism_Strain	Gender	Age_In_Years	Tested_Cell_Type	Exposed_Area	Exposed_Area_Type	Radiation_Type	Dosage_Rate	Dose	Study_Type	Control	Sampling_Time_In_hrs	Type_Of_OMICS_Data	Testing_Method	Regulation	Tested_Cell_Or_Tissue_OLS	Identifier_OLS	Identifier_Type_OLS	Empty_col
20	IL-8	IL8_HUMAN	P10145	CXCL8	HGNC:6025	Interleukin-8	Human	Protein	9129230	Homo sapiens	Caucasian	Male	41	Biopsy of exposed buttock region	Buttock	Tissue	UVB-radiation			In vivo	No irradiation	24	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
21	TNF-a	TNFA_HUMAN	P01375	TNF	HGNC:11892	tumor necrosis factor	Human	Protein	9129230	Homo sapiens	Caucasian	Male	41	Biopsy of exposed buttock region	Buttock	Tissue	UVB-radiation			In vivo	No irradiation	24	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
22	E-selectin	LYAM2_HUMAN	P16581	SELE	HGNC:10718	E-selectin	Human	Protein	9129230	Homo sapiens	Caucasian	Male	41	Biopsy of exposed buttock region	Buttock	Tissue	UVB-radiation			In vivo	No irradiation	24	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
23	IL-8	IL8_HUMAN	P10145	CXCL8	HGNC:6025	Interleukin-8	Human	Protein	9129230	Homo sapiens	Caucasian	Male	41	Biopsy of exposed buttock region	Buttock	Tissue	UVB-radiation			In vivo	No irradiation	8	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
24	p53	P53_HUMAN	P04637	TP53	HGNC:11998	Cellular tumor antigen p53	Human	Protein	12535024	Homo sapiens	Healthy	Female		Biopsy of exposed buttock skin	Buttock skin	Tissue	UVA-radiation	640	400000	In vivo	No irradiation	120	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
25	MMP2	MMP2_HUMAN	P08253	MMP2	HGNC:7166	72 kDa type IV collagenase	Human	Protein	15115299	Homo sapiens	Healthy Caucasian	Both	21-35	Biopsy of exposed buttock skin	Buttock skin	Tissue	UV radiation-General		118600	In vivo	No irradiation	24	Proteomics	Immunofluorescence	Up	skin of body	UBERON_0002097	Uberon Ontology	
26	VEGF	VEGFA_HUMAN	P15692	VEGFA	HGNC:12680	Vascular endothelial growth factor A	Human	Protein	15115299	Homo sapiens	Healthy Caucasian	Both	21-35	Biopsy of exposed buttock skin	Buttock skin	Tissue	UV radiation-General		118600	In vivo	No irradiation	24	Proteomics	Immunofluorescence	Up	skin of body	UBERON_0002097	Uberon Ontology	
27	Fibrillin 1	FBN1_HUMAN	P35555	FBN1	HGNC:3603	Fibrillin-1	Human	Protein	15115299	Homo sapiens	Healthy Caucasian	Both	21-35	Biopsy of exposed buttock skin	Buttock skin	Tissue	UV radiation-General		118600	In vivo	No irradiation	24	Proteomics	Immunofluorescence	Up	skin of body	UBERON_0002097	Uberon Ontology	
28	Elastin	ELN_HUMAN	P15502	ELN	HGNC:3327	elastin	Human	Protein	15115299	Homo sapiens	Healthy Caucasian	Both	21-35	Biopsy of exposed buttock skin	Buttock skin	Tissue	UV radiation-General		118600	In vivo	No irradiation	24	Proteomics	Immunofluorescence	Up	skin of body	UBERON_0002097	Uberon Ontology	
29	p53	P53_HUMAN	P04637	TP53	HGNC:11998	Cellular tumor antigen p53	Human	Protein	9635674	Homo sapiens		Both		Biopsy of exposed buttock skin	Buttock skin	Tissue	UVB-radiation			In vivo	No irradiation	4	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
30	MMP9	MMP9_HUMAN	P14780	MMP9	HGNC:7176	Matrix metalloproteinase-9	Human	Protein	15115299	Homo sapiens	Healthy Caucasian	Both	21-35	Biopsy of exposed buttock skin	Buttock skin	Tissue	UV radiation-General		118600	In vivo	No irradiation	24	Proteomics	Immunofluorescence	Up	skin of body	UBERON_0002097	Uberon Ontology	
31	MDM2	MDM2_HUMAN	Q00987	MDM2	HGNC:6973	E3 ubiquitin-protein ligase Mdm2	Human	Protein	9635674	Homo sapiens		Both		Biopsy of exposed buttock skin	Buttock skin	Tissue	UVB-radiation			In vivo	No irradiation	24	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
32	p53	P53_HUMAN	P04637	TP53	HGNC:11998	Cellular tumor antigen p53	Human	Protein	12535024	Homo sapiens	Healthy	Female		Biopsy of exposed buttock skin	Buttock skin	Tissue	UVA-radiation	640	400000	In vivo	No irradiation	0	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
33	p21	CDN1A_HUMAN	P38936	CDKN1A	HGNC:1784	Cyclin-dependent kinase inhibitor 1	Human	Protein	9635674	Homo sapiens		Both		Biopsy of exposed buttock skin	Buttock skin	Tissue	UVB-radiation			In vivo	No irradiation	24	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
34	IL-1b	IL1B_HUMAN	P01584	IL1B	HGNC:5992	Interleukin-1 beta	Human	Protein	15115299	Homo sapiens	Healthy Caucasian	Both	21-35	Biopsy of exposed buttock skin	Buttock skin	Tissue	UV radiation-General		118600	In vivo	No irradiation	24	Proteomics	Immunofluorescence	Up	skin of body	UBERON_0002097	Uberon Ontology	
35	IL-1a	IL1A_HUMAN	P01583	IL1A	HGNC:5991	Interleukin-1 alpha	Human	Protein	15115299	Homo sapiens	Healthy Caucasian	Both	21-35	Biopsy of exposed buttock skin	Buttock skin	Tissue	UV radiation-General		118600	In vivo	No irradiation	24	Proteomics	Immunofluorescence	Up	skin of body	UBERON_0002097	Uberon Ontology	
36	p53	P53_HUMAN	P04637	TP53	HGNC:11998	Cellular tumor antigen p53	Human	Protein	9635674	Homo sapiens		Both		Biopsy of exposed buttock skin	Buttock skin	Tissue	UVB-radiation			In vivo	No irradiation	24	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
37	Fibulin-5	FBLN5_HUMAN	Q9UBX5	FBLN5	HGNC:3602	Fibulin-5	Human	Protein	16120151	Homo sapiens		Male	5-76	Biopsy of exposed dermis skin	Buttock skin	Tissue	UVB-radiation			In vivo	No irradiation	48	Proteomics	Immunohistochemistry	Down	dermis	UBERON_0002067	Uberon Ontology	
38	IL4	IL4_HUMAN	P05112	IL4	HGNC:6014	interleukin 4	Human	Protein	11937523	Homo sapiens	Caucasian		27	Biopsy of exposed dermis skin	Buttock skin	Tissue	UVB-radiation			In vivo	No irradiation	48	Proteomics	Immunohistochemistry	Up	dermis	UBERON_0002067	Uberon Ontology	
39	IL4	IL4_HUMAN	P05112	IL4	HGNC:6014	interleukin 4	Human	Protein	11937523	Homo sapiens	Caucasian		27	Biopsy of exposed dermis skin	Buttock skin	Tissue	UVB-radiation			In vivo	No irradiation	72	Proteomics	Immunohistochemistry	Up	dermis	UBERON_0002067	Uberon Ontology	
40	IL4	IL4_HUMAN	P05112	IL4	HGNC:6014	interleukin 4	Human	Protein	11937523	Homo sapiens	Caucasian		27	Biopsy of exposed dermis skin	Buttock skin	Tissue	UVB-radiation			In vivo	No irradiation	96	Proteomics	Immunohistochemistry	Up	dermis	UBERON_0002067	Uberon Ontology	
41	IL4	IL4_HUMAN	P05112	IL4	HGNC:6014	interleukin 4	Human	Protein	11937523	Homo sapiens	Caucasian		27	Biopsy of exposed dermis skin	Buttock skin	Tissue	UVB-radiation			In vivo	No irradiation	10	Proteomics	Immunohistochemistry	Up	dermis	UBERON_0002067	Uberon Ontology	
42	IL4	IL4_HUMAN	P05112	IL4	HGNC:6014	interleukin 4	Human	Protein	11937523	Homo sapiens	Caucasian		27	Biopsy of exposed dermis skin	Buttock skin	Tissue	UVB-radiation			In vivo	No irradiation	24	Proteomics	Immunohistochemistry	Up	dermis	UBERON_0002067	Uberon Ontology	
43	IL4	IL4_HUMAN	P05112	IL4	HGNC:6014	interleukin 4	Human	Protein	11937523	Homo sapiens	Caucasian		27	Biopsy of exposed epidermis skin	Buttock skin	Tissue	UVB-radiation			In vivo	No irradiation	72	Proteomics	Immunohistochemistry	Up	skin epidermis	UBERON_0001003	Uberon Ontology	
44	IL4	IL4_HUMAN	P05112	IL4	HGNC:6014	interleukin 4	Human	Protein	11937523	Homo sapiens	Caucasian		27	Biopsy of exposed epidermis skin	Buttock skin	Tissue	UVB-radiation			In vivo	No irradiation	48	Proteomics	Immunohistochemistry	Up	skin epidermis	UBERON_0001003	Uberon Ontology	
45	IL4	IL4_HUMAN	P05112	IL4	HGNC:6014	interleukin 4	Human	Protein	11937523	Homo sapiens	Caucasian		27	Biopsy of exposed epidermis skin	Buttock skin	Tissue	UVB-radiation			In vivo	No irradiation	96	Proteomics	Immunohistochemistry	Up	skin epidermis	UBERON_0001003	Uberon Ontology	
46	IL4	IL4_HUMAN	P05112	IL4	HGNC:6014	interleukin 4	Human	Protein	11937523	Homo sapiens	Caucasian		27	Biopsy of exposed epidermis skin	Buttock skin	Tissue	UVB-radiation			In vivo	No irradiation	24	Proteomics	Immunohistochemistry	Up	skin epidermis	UBERON_0001003	Uberon Ontology	
47	gp100	PMEL_HUMAN	P40967	PMEL	HGNC:10880	Melanocyte protein PMEL	Human	Protein	15955111	Homo sapiens	Asian			Biopsy of exposed skin	Back skin	Tissue	UV radiation-General	1.6	300-600	In vivo	No irradiation	168	Proteomics	Immunofluorescence	Up	skin of body	UBERON_0002097	Uberon Ontology	
48	TYR	TYRO_HUMAN	P14679	TYR	HGNC:12442	tyrosinase	Human	Protein	15955111	Homo sapiens	Asian			Biopsy of exposed skin	Back skin	Tissue	UV radiation-General	1.6	300-600	In vivo	No irradiation	24	Proteomics	Immunofluorescence	Up	skin of body	UBERON_0002097	Uberon Ontology	
49	MART1	MLANA	Q16655	MLANA	HGNC:7124	Melanoma antigen recognized by T-cells 1	Human	Protein	15955111	Homo sapiens	Asian			Biopsy of exposed skin	Back skin	Tissue	UV radiation-General	1.6	300-600	In vivo	No irradiation	168	Proteomics	Immunofluorescence	Up	skin of body	UBERON_0002097	Uberon Ontology	
50	gp100	PMEL_HUMAN	P40967	PMEL	HGNC:10880	Melanocyte protein PMEL	Human	Protein	15955111	Homo sapiens	White			Biopsy of exposed skin	Back skin	Tissue	UV radiation-General	1.6	250-480	In vivo	No irradiation	168	Proteomics	Immunofluorescence	Up	skin of body	UBERON_0002097	Uberon Ontology	
51	TYR	TYRO_HUMAN	P14679	TYR	HGNC:12442	tyrosinase	Human	Protein	15955111	Homo sapiens	Black			Biopsy of exposed skin	Back skin	Tissue	UV radiation-General	1.6	600-850	In vivo	No irradiation	24	Proteomics	Immunofluorescence	Up	skin of body	UBERON_0002097	Uberon Ontology	
52	Tropoelastin	ELN_HUMAN	P15502	ELN	HGNC:3327	elastin	Human	Protein	19054052	Homo sapiens				Biopsy of exposed skin	Buttock skin	Tissue	UV radiation-General		500	In vivo	No irradiation	48	Proteomics	Western blot	Up	skin of body	UBERON_0002097	Uberon Ontology	
53	MITF	MITF_HUMAN	O75030	MITF	HGNC:7105	Microphthalmia-associated transcription factor	Human	Protein	20147966	Homo sapiens	Fitzpatrick skin type II-III	Both	21-56	Biopsy of exposed skin	Skin	Tissue	UV radiation-General		2400	In vivo	No irradiation	96	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
54	DCT	TYRP2_HUMAN	P40126	DCT	HGNC:2709	L-dopachrome tautomerase	Human	Protein	20147966	Homo sapiens	Fitzpatrick skin type II-III	Both	21-56	Biopsy of exposed skin	Skin	Tissue	UVB-radiation			In vivo	No irradiation	96	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
55	TYR	TYRO_HUMAN	P14679	TYR	HGNC:12442	tyrosinase	Human	Protein	20147966	Homo sapiens	Fitzpatrick skin type II-III	Both	21-56	Biopsy of exposed skin	Skin	Tissue	UVB-radiation			In vivo	No irradiation	96	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
56	Pmel17	PMEL_HUMAN	P40967	PMEL	HGNC:10880	Melanocyte protein PMEL	Human	Protein	20147966	Homo sapiens	Fitzpatrick skin type II-III	Both	21-56	Biopsy of exposed skin	Skin	Tissue	UV radiation-General		2400	In vivo	No irradiation	96	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
57	Pmel17	PMEL_HUMAN	P40967	PMEL	HGNC:10880	Melanocyte protein PMEL	Human	Protein	20147966	Homo sapiens	Fitzpatrick skin type II-III	Both	21-56	Biopsy of exposed skin	Skin	Tissue	UVB-radiation			In vivo	No irradiation	96	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
58	DCT	TYRP2_HUMAN	P40126	DCT	HGNC:2709	L-dopachrome tautomerase	Human	Protein	20147966	Homo sapiens	Fitzpatrick skin type II-III	Both	21-56	Biopsy of exposed skin	Skin	Tissue	UV radiation-General		2400	In vivo	No irradiation	96	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
59	MITF	MITF_HUMAN	O75030	MITF	HGNC:7105	Microphthalmia-associated transcription factor	Human	Protein	20147966	Homo sapiens	Fitzpatrick skin type II-III	Both	21-56	Biopsy of exposed skin	Skin	Tissue	UVB-radiation			In vivo	No irradiation	96	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
60	TYR	TYRO_HUMAN	P14679	TYR	HGNC:12442	tyrosinase	Human	Protein	20147966	Homo sapiens	Fitzpatrick skin type II-III	Both	21-56	Biopsy of exposed skin	Skin	Tissue	UV radiation-General		2400	In vivo	No irradiation	96	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
61	Bax	BAX_HUMAN	Q07812	BAX	HGNC:959	Apoptosis regulator BAX	Human	Protein	19221257	Homo sapiens			19-51	Biopsy of exposed skin	Total body irradiation excluding genital area for 10 days; Left buttock area	Tissue	UVB-radiation		100	In vivo	No irradiation	24	Proteomics	Flow cytometry	Up	skin of body	UBERON_0002097	Uberon Ontology	
62	Mcl-1	MCL1_HUMAN	Q07820	MCL1	HGNC:6943	Induced myeloid leukemia cell differentiation protein Mcl-1	Human	Protein	19221257	Homo sapiens			19-51	Biopsy of exposed skin	Total body irradiation excluding genital area for 10 days; Left buttock area	Tissue	UVB-radiation			In vivo	No irradiation	24	Proteomics	Flow cytometry	Down	skin of body	UBERON_0002097	Uberon Ontology	
63	p73	P73_HUMAN	O15350	TP73	HGNC:12003	tumor protein p73	Human	Protein	19221257	Homo sapiens			19-51	Biopsy of exposed skin	Total body irradiation excluding genital area for 10 days; Left buttock area	Tissue	UVB-radiation		100	In vivo	No irradiation	24	Proteomics	Flow cytometry	Up	skin of body	UBERON_0002097	Uberon Ontology	
64	Bcl-2	BCL2_HUMAN	P10415	BCL2	HGNC:990	Apoptosis regulator Bcl-2	Human	Protein	19221257	Homo sapiens			19-51	Biopsy of exposed skin	Total body irradiation excluding genital area for 10 days; Left buttock area	Tissue	UVB-radiation			In vivo	No irradiation	24	Proteomics	Flow cytometry	Down	skin of body	UBERON_0002097	Uberon Ontology	
65	Ferritin	FTMT_HUMAN	Q8N4E7	FTMT	HGNC:17345	Ferritin, mitochondrial	Human	Protein	9665404	Homo sapiens		Both	24-49	Biopsy of exposed skin- Suprabasal epidermal layer	Buttock skin	Tissue	UVA-radiation	600-800	50000	In vivo	No irradiation	24	Proteomics	ELISA	Up	epidermis suprabasal layer	UBERON_0010402	Uberon Ontology	
66	Ferritin	FTMT_HUMAN	Q8N4E7	FTMT	HGNC:17345	Ferritin, mitochondrial	Human	Protein	9665404	Homo sapiens		Both	24-49	Biopsy of exposed skin- Suprabasal epidermal layer	Buttock skin	Tissue	UVA-radiation	600-800	100000	In vivo	No irradiation	24	Proteomics	ELISA	Up	epidermis suprabasal layer	UBERON_0010402	Uberon Ontology	
67	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	14626663	Homo sapiens		Both	18-70	Blister fluid	Buttock skin	Cell	UVA-radiation		60000	In vivo	No irradiation	24	Proteomics	ELISA	Up				
68	MMP-3	MMP3_HUMAN	P08254	MMP3	HGNC:7173	Stromelysin-1	Human	Protein	14626663	Homo sapiens		Both	18-70	Blister fluid	Buttock skin	Cell	UVA-radiation		60000	In vivo	No irradiation	24	Proteomics	ELISA	Up				
69	Decorin	PGS2_HUMAN	P07585	DCN	HGNC:2705	Decorin	Human	Protein	24023624	Homo sapiens		Both	23-55	Buttock skin	Buttock skin	Tissue	UV radiation-General			In vivo	No irradiation	8	Proteomics	Western blot	Down	skin of body	UBERON_0002097	Uberon Ontology	
70	Bax	BAX_HUMAN	Q07812	BAX	HGNC:959	Apoptosis regulator BAX	Human	Protein	19709099	Homo sapiens				Buttock skin	Buttock skin	Tissue	UVB-radiation		1200	In vivo	No irradiation	24	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
71	p53	P53_HUMAN	P04637	TP53	HGNC:11998	Cellular tumor antigen p53	Human	Protein	19709099	Homo sapiens				Buttock skin	Buttock skin	Tissue	UVB-radiation		1200	In vivo	No irradiation	24	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
72	Decorin	PGS2_HUMAN	P07585	DCN	HGNC:2705	Decorin	Human	Protein	24023624	Homo sapiens		Both	23-55	Buttock skin	Buttock skin	Tissue	UV radiation-General			In vivo	No irradiation	48	Proteomics	Western blot	Down	skin of body	UBERON_0002097	Uberon Ontology	
73	Decorin	PGS2_HUMAN	P07585	DCN	HGNC:2705	Decorin	Human	Protein	24023624	Homo sapiens		Both	23-55	Buttock skin	Buttock skin	Tissue	UV radiation-General			In vivo	No irradiation	24	Proteomics	Western blot	Down	skin of body	UBERON_0002097	Uberon Ontology	
74	p18	CDN2C_HUMAN	P42773	CDKN2C	HGNC:1789	Cyclin-dependent kinase 4 inhibitor C	Human	Protein	19709099	Homo sapiens				Buttock skin	Total body irradiation	Tissue	UVB-radiation		1100	In vivo	No irradiation	240	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
75	p21	CDN1A_HUMAN	P38936	CDKN1A	HGNC:1784	Cyclin-dependent kinase inhibitor 1	Human	Protein	19709099	Homo sapiens				Buttock skin	Total body irradiation	Tissue	UVB-radiation		1100	In vivo	No irradiation	240	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
76	Cyclin D1	CCND1_HUMAN	P24385	CCND1	HGNC:1582	G1/S-specific cyclin-D1	Human	Protein	19709099	Homo sapiens				Buttock skin	Total body irradiation	Tissue	UVB-radiation		1100	In vivo	No irradiation	240	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
77	Bax	BAX_HUMAN	Q07812	BAX	HGNC:959	Apoptosis regulator BAX	Human	Protein	19709099	Homo sapiens				Buttock skin	Total body irradiation (TBI); Buttock skin	Tissue	UVB-radiation		1200	In vivo	No irradiation	264	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
78	p53	P53_HUMAN	P04637	TP53	HGNC:11998	Cellular tumor antigen p53	Human	Protein	19709099	Homo sapiens				Buttock skin	Total body irradiation (TBI); Buttock skin	Tissue	UVB-radiation		1200	In vivo	No irradiation	264	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
79	pRB	RB_HUMAN	P06400	RB1	HGNC:9884	Retinoblastoma-associated protein	Human	Protein	19709099	Homo sapiens				Buttock skin	Total body irradiation (TBI); Buttock skin	Tissue	UVB-radiation		1200	In vivo	No irradiation	264	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
80	p18	CDN2C_HUMAN	P42773	CDKN2C	HGNC:1789	Cyclin-dependent kinase 4 inhibitor C	Human	Protein	19709099	Homo sapiens				Buttock skin	Total body irradiation (TBI); Buttock skin	Tissue	UVB-radiation		1200	In vivo	No irradiation	264	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
81	p21	CDN1A_HUMAN	P38936	CDKN1A	HGNC:1784	Cyclin-dependent kinase inhibitor 1	Human	Protein	19709099	Homo sapiens				Buttock skin	Total body irradiation (TBI); Buttock skin	Tissue	UVB-radiation		1200	In vivo	No irradiation	264	Proteomics	Immunohistochemistry	Up	skin of body	UBERON_0002097	Uberon Ontology	
