sno	Collected_Gene_name	Approved_Symbol	Gene_Identifier	Approved_Name	Ensembl_Gene_ID	NCBI_Gene_ID	Organism_Mapped	Biomarker_Type	PMID	Organism_Tested	Organism_Strain	Gender	Age_In_Years	Tested_Cell_Type	Exposed_Area	Exposed_Area_Type	Radiation_Type	Dosage_Rate	Dose	Study_Type	Control	Sampling_Time_In_hrs	Type_Of_OMICS_Data	Testing_Method	Regulation	Tested_Cell_Or_Tissue_OLS	Identifier_OLS	Identifier_Type_OLS	Empty_col
13	BDKRB1	BDKRB1	HGNC:1029	bradykinin receptor B1	ENSG00000100739	623	Human	Gene	22761785	Homo sapiens		Male	22.40-45.40	Skin from exposed buttock region	Medial buttock region	Tissue	UVC-radiation		2560	In vivo	No irradiation	24	Genomics	qPCR	Up	skin of body	UBERON_0002097	Uberon Ontology	
14	BDKRB1	BDKRB1	HGNC:1029	bradykinin receptor B1	ENSG00000100739	623	Human	Gene	22761785	Homo sapiens		Male	22.40-45.40	Skin from exposed buttock region	Medial buttock region	Tissue	UVC-radiation		2560	In vivo	No irradiation	3	Genomics	qPCR	Up	skin of body	UBERON_0002097	Uberon Ontology	
15	BDKRB1	BDKRB1	HGNC:1029	bradykinin receptor B1	ENSG00000100739	623	Human	Gene	22761785	Homo sapiens		Male	22.40-45.40	Skin from exposed buttock region	Medial buttock region	Tissue	UVC-radiation		2560	In vivo	No irradiation	6	Genomics	qPCR	Up	skin of body	UBERON_0002097	Uberon Ontology	
16	Csa-19	RPL10A	HGNC:10299	ribosomal protein L10a	ENSG00000198755	4736	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
17	ribosomal protein L21	RPL21	HGNC:10313	ribosomal protein L21	ENSG00000122026	6144	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
18	ribosomal protein L27a	RPL27A	HGNC:10329	ribosomal protein L27a	ENSG00000166441	6157	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
19	BDNF	BDNF	HGNC:1033	brain derived neurotrophic factor	ENSG00000176697	627	Human	Gene	22761785	Homo sapiens		Male	22.40-45.40	Skin from exposed buttock region	Medial buttock region	Tissue	UVC-radiation		2560	In vivo	No irradiation	6	Genomics	qPCR	Up	skin of body	UBERON_0002097	Uberon Ontology	
20	Beclin1	BECN1	HGNC:1034	Beclin 1	ENSG00000126581	8678	Human	Gene	29154199	Homo sapiens	Healthy		Neonate	Human keratinocytes	Human keratinocytes	Cell	UVB-radiation		500	In vitro	No irradiation	4	Genomics	qRT-PCR	Down	keratinocyte	CL_0000312	Cell Ontology	
21	RPL6	RPL6	HGNC:10362	ribosomal protein L6	ENSG00000089009	6128	Human	Gene	26244334	Homo sapiens			Neonate	Human epidermal melanocytes - dark melanocytes	Human epidermal melanocytes - dark melanocytes	Cell	UVB-radiation		750	In vitro	No irradiation	12	Genomics	qRT-PCR	Up	epidermal melanocyte	CL_2000000	Cell Ontology	
22	RPL6	RPL6	HGNC:10362	ribosomal protein L6	ENSG00000089009	6128	Human	Gene	26244334	Homo sapiens			Neonate	Human epidermal melanocytes - dark melanocytes	Human epidermal melanocytes - dark melanocytes	Cell	UVB-radiation		750	In vitro	No irradiation	6	Genomics	qRT-PCR	Up	epidermal melanocyte	CL_2000000	Cell Ontology	
23	RPL6	RPL6	HGNC:10362	ribosomal protein L6	ENSG00000089009	6128	Human	Gene	26244334	Homo sapiens			Neonate	Human epidermal melanocytes - light melanocytes	Human epidermal melanocytes - light melanocytes	Cell	UVB-radiation		750	In vitro	No irradiation	12	Genomics	qRT-PCR	Up	epidermal melanocyte	CL_2000000	Cell Ontology	
24	RPL6	RPL6	HGNC:10362	ribosomal protein L6	ENSG00000089009	6128	Human	Gene	26244334	Homo sapiens			Neonate	Human epidermal melanocytes - light melanocytes	Human epidermal melanocytes - light melanocytes	Cell	UVB-radiation		750	In vitro	No irradiation	6	Genomics	qRT-PCR	Up	epidermal melanocyte	CL_2000000	Cell Ontology	
25	acidic ribosomal phosphoprotein (p0)	RPLP0	HGNC:10371	ribosomal protein lateral stalk subunit P0	ENSG00000089157	6175	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
26	RPS20	RPS20	HGNC:10405	ribosomal protein S20	ENSG00000008988	6224	Human	Gene	12907719	Homo sapiens				WS1 human skin fibroblasts	WS1 human skin fibroblasts	Cell	UVC-radiation		50	In vitro	No irradiation	18	Genomics	Microarray	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
27	RPS20	RPS20	HGNC:10405	ribosomal protein S20	ENSG00000008988	6224	Human	Gene	12907719	Homo sapiens				WS1 human skin fibroblasts	WS1 human skin fibroblasts	Cell	UVC-radiation		50	In vitro	No irradiation	24	Genomics	Microarray	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
28	ribosomal protein	RPS23	HGNC:10410	ribosomal protein S23	ENSG00000186468	6228	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
29	ribosomal protein	RPS25	HGNC:10413	ribosomal protein S25	ENSG00000118181	6230	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
30	ribosomal protein S28	RPS28	HGNC:10418	ribosomal protein S28	ENSG00000233927	6234	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
31	ribosomal protein S4Y isoform	RPS4Y1	HGNC:10425	ribosomal protein S4 Y-linked 1	ENSG00000129824	6192	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
32	ribosomal protein S5	RPS5	HGNC:10426	ribosomal protein S5	ENSG00000083845	6193	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
33	ribosomal protein S9	RPS9	HGNC:10442	ribosomal protein S9	ENSG00000170889	6203	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
34	RRAD	RRAD	HGNC:10446	RRAD, Ras related glycolysis inhibitor and calcium channel regulator	ENSG00000166592	6236	Human	Gene	19707549	Homo sapiens				Monocyte-derived Dendritic cells	Monocyte-derived Dendritic cells	Cell	UV radiation-General		40000	In vitro	No irradiation	6	Genomics	Microarray	Up	monocyte-derived dendritic cell	CL_0011031	Cell Ontology	
35	RRAD	RRAD	HGNC:10446	RRAD, Ras related glycolysis inhibitor and calcium channel regulator	ENSG00000166592	6236	Human	Gene	12907719	Homo sapiens				WS1 human skin fibroblasts	WS1 human skin fibroblasts	Cell	UVC-radiation		50	In vitro	No irradiation	18	Genomics	Microarray	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
36	RRAD	RRAD	HGNC:10446	RRAD, Ras related glycolysis inhibitor and calcium channel regulator	ENSG00000166592	6236	Human	Gene	12907719	Homo sapiens				WS1 human skin fibroblasts	WS1 human skin fibroblasts	Cell	UVC-radiation		50	In vitro	No irradiation	24	Genomics	Microarray	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
37	CLIP-170	CLIP1	HGNC:10461	CAP-Gly domain containing linker protein 1	ENSG00000130779	6249	Human	Gene	15339208	Homo sapiens				Human lens epithelial cells	Human lens epithelial cells	Cell	UVA-radiation	70	378000	In vitro	No irradiation	4	Genomics	Microarray	Down	lens epithelial cell	CL_0002224	Cell Ontology	
38	RSU1	RSU1	HGNC:10464	Ras suppressor protein 1	ENSG00000148484	6251	Human	Gene	27119462	Homo sapiens			Neonate	Primary human keratinocytes	Primary human keratinocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Down	keratinocyte	CL_0000312	Cell Ontology	
39	RSU1	RSU1	HGNC:10464	Ras suppressor protein 1	ENSG00000148484	6251	Human	Gene	27119462	Homo sapiens			Neonate	Primary human Melanocytes	Primary human Melanocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Down	melanocyte	CL_0000148	Cell Ontology	
40	RXR-a	RXRA	HGNC:10477	retinoid X receptor alpha	ENSG00000186350	6256	Human	Gene	14705796	Homo sapiens	Healthy Caucasian		1-15	Human keratinocytes	Human keratinocytes	Cell	UVB-radiation		500	In vitro	No irradiation	8	Genomics	qRT-PCR	Up	keratinocyte	CL_0000312	Cell Ontology	
41	RXR-a	RXRA	HGNC:10477	retinoid X receptor alpha	ENSG00000186350	6256	Human	Gene	14705796	Homo sapiens	Healthy Caucasian		1-15	Human melanocytes	Human melanocytes	Cell	UVB-radiation		500	In vitro	No irradiation	4	Genomics	qRT-PCR	Up	melanocyte	CL_0000148	Cell Ontology	
42	calcium-binding protein (CAPL)	S100A4	HGNC:10494	S100 calcium binding protein A4	ENSG00000196154	6275	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
43	S100D calcium binding protein	S100A5	HGNC:10495	S100 calcium binding protein A5	ENSG00000196420	6276	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
44	Psoriasin	S100A7	HGNC:10497	S100 calcium binding protein A7	ENSG00000143556	6278	Human	Gene	19342087	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		350	In vitro	No irradiation	24	Genomics	RT-PCR	Up	keratinocyte	CL_0000312	Cell Ontology	
45	Psoriasin	S100A7	HGNC:10497	S100 calcium binding protein A7	ENSG00000143556	6278	Human	Gene	19342087	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		350	In vitro	No irradiation	48	Genomics	RT-PCR	Up	keratinocyte	CL_0000312	Cell Ontology	
46	sin3 associated polypeptide p18	SAP18	HGNC:10530	Sin3A associated protein 18	ENSG00000150459	10284	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
47	SAP30	SAP30	HGNC:10532	Sin3A associated protein 30	ENSG00000164105	8819	Human	Gene	15339208	Homo sapiens				Human lens epithelial cells	Human lens epithelial cells	Cell	UVA-radiation	70	378000	In vitro	No irradiation	4	Genomics	Microarray	Down	lens epithelial cell	CL_0002224	Cell Ontology	
48	spermidine/spermine N1-acetyltransferase	SAT1	HGNC:10540	spermidine/spermine N1-acetyltransferase 1	ENSG00000130066	6303	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
49	SAT	SAT1	HGNC:10540	spermidine/spermine N1-acetyltransferase 1	ENSG00000130066	6303	Human	Gene	12907719	Homo sapiens				WS1 human skin fibroblasts	WS1 human skin fibroblasts	Cell	UVC-radiation		50	In vitro	No irradiation	6	Genomics	Microarray	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
50	SAT	SAT1	HGNC:10540	spermidine/spermine N1-acetyltransferase 1	ENSG00000130066	6303	Human	Gene	12907719	Homo sapiens				WS1 human skin fibroblasts	WS1 human skin fibroblasts	Cell	UVC-radiation		50	In vitro	No irradiation	12	Genomics	Microarray	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
51	SAT	SAT1	HGNC:10540	spermidine/spermine N1-acetyltransferase 1	ENSG00000130066	6303	Human	Gene	12907719	Homo sapiens				WS1 human skin fibroblasts	WS1 human skin fibroblasts	Cell	UVC-radiation		10	In vitro	No irradiation	18	Genomics	Microarray	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
52	SAT	SAT1	HGNC:10540	spermidine/spermine N1-acetyltransferase 1	ENSG00000130066	6303	Human	Gene	12907719	Homo sapiens				WS1 human skin fibroblasts	WS1 human skin fibroblasts	Cell	UVC-radiation		50	In vitro	No irradiation	18	Genomics	Microarray	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
53	SAT	SAT1	HGNC:10540	spermidine/spermine N1-acetyltransferase 1	ENSG00000130066	6303	Human	Gene	12907719	Homo sapiens				WS1 human skin fibroblasts	WS1 human skin fibroblasts	Cell	UVC-radiation		10	In vitro	No irradiation	12	Genomics	Microarray	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
54	SAT	SAT1	HGNC:10540	spermidine/spermine N1-acetyltransferase 1	ENSG00000130066	6303	Human	Gene	12907719	Homo sapiens				WS1 human skin fibroblasts	WS1 human skin fibroblasts	Cell	UVC-radiation		50	In vitro	No irradiation	24	Genomics	Microarray	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
55	SAT	SAT1	HGNC:10540	spermidine/spermine N1-acetyltransferase 1	ENSG00000130066	6303	Human	Gene	12907719	Homo sapiens				WS1 human skin fibroblasts	WS1 human skin fibroblasts	Cell	UVC-radiation		10	In vitro	No irradiation	6	Genomics	Microarray	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
56	ataxin-2	ATXN2	HGNC:10555	ataxin 2	ENSG00000204842	6311	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
57	CCL2	CCL2	HGNC:10618	C-C motif chemokine ligand 2	ENSG00000108691	6347	Human	Gene	22745913	Homo sapiens				Human melanocytes	Human melanocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	qRT-PCR	Up	melanocyte	CL_0000148	Cell Ontology	
58	CCL2	CCL2	HGNC:10618	C-C motif chemokine ligand 2	ENSG00000108691	6347	Human	Gene	22761785	Homo sapiens		Male	22.40-45.40	Skin from exposed buttock region	Medial buttock region	Tissue	UVC-radiation		2560	In vivo	No irradiation	3	Genomics	qPCR	Up	skin of body	UBERON_0002097	Uberon Ontology	
59	CCL2	CCL2	HGNC:10618	C-C motif chemokine ligand 2	ENSG00000108691	6347	Human	Gene	22761785	Homo sapiens		Male	22.40-45.40	Skin from exposed buttock region	Medial buttock region	Tissue	UVC-radiation		2560	In vivo	No irradiation	6	Genomics	qPCR	Up	skin of body	UBERON_0002097	Uberon Ontology	
60	CCL20	CCL20	HGNC:10619	C-C motif chemokine ligand 20	ENSG00000115009	6364	Human	Gene	28845522	Homo sapiens	Healthy	Female	41.9	Human preadipocytes	Human preadipocytes	Cell	UVC-radiation		1000	In vitro	No irradiation	24	Genomics	qRT-PCR	Up	preadipocyte	CL_0002334	Cell Ontology	
61	CCL20	CCL20	HGNC:10619	C-C motif chemokine ligand 20	ENSG00000115009	6364	Human	Gene	28845522	Homo sapiens	Healthy	Male	30.8	Human subcutaneous adipocytes	Human subcutaneous adipocytes	Cell	UVC-radiation		1000	In vitro	No irradiation	24	Genomics	qRT-PCR	Up	subcutaneous adipocyte	CL_0002521	Cell Ontology	
62	CCL3	CCL3	HGNC:10627	C-C motif chemokine ligand 3	ENSG00000277632	6348	Human	Gene	22761785	Homo sapiens		Male	22.40-45.40	Skin from exposed buttock region	Medial buttock region	Tissue	UVC-radiation		2560	In vivo	No irradiation	3	Genomics	qPCR	Up	skin of body	UBERON_0002097	Uberon Ontology	
63	CCL3	CCL3	HGNC:10627	C-C motif chemokine ligand 3	ENSG00000277632	6348	Human	Gene	22761785	Homo sapiens		Male	22.40-45.40	Skin from exposed buttock region	Medial buttock region	Tissue	UVC-radiation		2560	In vivo	No irradiation	6	Genomics	qPCR	Up	skin of body	UBERON_0002097	Uberon Ontology	
64	CCL5	CCL5	HGNC:10632	C-C motif chemokine ligand 5	ENSG00000271503	6352	Human	Gene	28845522	Homo sapiens	Healthy	Female	41.9	Human preadipocytes	Human preadipocytes	Cell	UVC-radiation		1000	In vitro	No irradiation	24	Genomics	qRT-PCR	Up	preadipocyte	CL_0002334	Cell Ontology	
65	CCL5	CCL5	HGNC:10632	C-C motif chemokine ligand 5	ENSG00000271503	6352	Human	Gene	28845522	Homo sapiens	Healthy	Male	30.8	Human subcutaneous adipocytes	Human subcutaneous adipocytes	Cell	UVC-radiation		1000	In vitro	No irradiation	24	Genomics	qRT-PCR	Up	subcutaneous adipocyte	CL_0002521	Cell Ontology	
66	CCL7	CCL7	HGNC:10634	C-C motif chemokine ligand 7	ENSG00000108688	6354	Human	Gene	19707549	Homo sapiens				Monocyte-derived Dendritic cells	Monocyte-derived Dendritic cells	Cell	UV radiation-General		40000	In vitro	No irradiation	6	Genomics	Microarray	Up	monocyte-derived dendritic cell	CL_0011031	Cell Ontology	
67	CXCL5	CXCL5	HGNC:10642	C-X-C motif chemokine ligand 5	ENSG00000163735	6374	Human	Gene	28845522	Homo sapiens	Healthy	Female	41.9	Human preadipocytes	Human preadipocytes	Cell	UVC-radiation		1000	In vitro	No irradiation	24	Genomics	qRT-PCR	Up	preadipocyte	CL_0002334	Cell Ontology	
68	CXCL5	CXCL5	HGNC:10642	C-X-C motif chemokine ligand 5	ENSG00000163735	6374	Human	Gene	28845522	Homo sapiens	Healthy	Male	30.8	Human subcutaneous adipocytes	Human subcutaneous adipocytes	Cell	UVC-radiation		1000	In vitro	No irradiation	24	Genomics	qRT-PCR	Up	subcutaneous adipocyte	CL_0002521	Cell Ontology	
69	human (chromosome 3p25) membrane protein	SEC13	HGNC:10697	SEC13 homolog, nuclear pore and COPII coat complex component	ENSG00000157020	6396	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
70	Bone morphogenetic protein 3	BMP3	HGNC:1070	bone morphogenetic protein 3	ENSG00000152785	651	Human	Gene	15474302	Homo sapiens			Adult	Human epidermal keratinocytes	Human epidermal keratinocytes	Cell	UVB-radiation		500	In vitro	No irradiation	12	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
71	selenoprotein W	SELENOW	HGNC:10752	selenoprotein W	ENSG00000178980	6415	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
72	ACVRCL3	BMPR1A	HGNC:1076	bone morphogenetic protein receptor type 1A	ENSG00000107779	657	Human	Gene	15339208	Homo sapiens				Human lens epithelial cells	Human lens epithelial cells	Cell	UVA-radiation	70	378000	In vitro	No irradiation	4	Genomics	Microarray	Down	lens epithelial cell	CL_0002224	Cell Ontology	
73	similar to G9a gene	SETDB1	HGNC:10761	SET domain bifurcated histone lysine methyltransferase 1	ENSG00000143379	9869	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
74	SFRS3	SRSF3	HGNC:10785	serine and arginine rich splicing factor 3	ENSG00000112081	6428	Human	Gene	19707549	Homo sapiens				Monocyte-derived Dendritic cells	Monocyte-derived Dendritic cells	Cell	UV radiation-General		40000	In vitro	No irradiation	6	Genomics	Microarray	Down	monocyte-derived dendritic cell	CL_0011031	Cell Ontology	
75	pre-RNA splicing factor SRp20	SRSF3	HGNC:10785	serine and arginine rich splicing factor 3	ENSG00000112081	6428	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
76	human deleted in split hand/split foot 1 (DSS1)	SEM1	HGNC:10845	SEM1 26S proteasome subunit	ENSG00000127922	7979	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
77	CGS23	ST3GAL4	HGNC:10864	ST3 beta-galactoside alpha-2,3-sialyltransferase 4	ENSG00000110080	6484	Human	Gene	15339208	Homo sapiens				Human lens epithelial cells	Human lens epithelial cells	Cell	UVA-radiation	70	378000	In vitro	No irradiation	4	Genomics	Microarray	Up	lens epithelial cell	CL_0002224	Cell Ontology	
78	Pmel17	PMEL	HGNC:10880	premelanosome protein	ENSG00000185664	6490	Human	Gene	20147966	Homo sapiens	Fitzpatrick skin type II-III	Both	21-56	Biopsy of exposed skin	Skin	Tissue	UV radiation-General		2400	In vivo	No irradiation	96	Genomics	Microarray	Up	skin of body	UBERON_0002097	Uberon Ontology	
79	Pmel17	PMEL	HGNC:10880	premelanosome protein	ENSG00000185664	6490	Human	Gene	20147966	Homo sapiens	Fitzpatrick skin type II-III	Both	21-56	Biopsy of exposed skin	Skin	Tissue	UVB-radiation			In vivo	No irradiation	96	Genomics	Microarray	Up	skin of body	UBERON_0002097	Uberon Ontology	
80	GEMIN-2	GEMIN2	HGNC:10884	gem nuclear organelle associated protein 2	ENSG00000092208	8487	Human	Gene	15339208	Homo sapiens				Human lens epithelial cells	Human lens epithelial cells	Cell	UVA-radiation	70	378000	In vitro	No irradiation	4	Genomics	Microarray	Down	lens epithelial cell	CL_0002224	Cell Ontology	
81	SIPA1	SIPA1	HGNC:10885	signal-induced proliferation-associated 1	ENSG00000213445	6494	Human	Gene	15339208	Homo sapiens				Human lens epithelial cells	Human lens epithelial cells	Cell	UVA-radiation	70	378000	In vitro	No irradiation	4	Genomics	Microarray	Down	lens epithelial cell	CL_0002224	Cell Ontology	
